ISDcode,ISD,dcode,District,bcode,School ,AYP,AYP Phase,Building Type
63,Oakland Schools,63130,Hazel Park City School District,02399,Jardon Vocational School,No,Corrective Action,Spec Ed Center
63,Oakland Schools,63130,Hazel Park City School District,07680,Hazel Park Adult Education,No,Corrective Action,Alternative School
63,Oakland Schools,63130,Hazel Park City School District,07829,Hazel Park Breakfast Club,No,Corrective Action,Alternative School
63,Oakland Schools,63140,Madison Public Schools (Oakland),01083,Edison Elementary School,No,Identified for Improvement - Year One,Elementary
63,Oakland Schools,63140,Madison Public Schools (Oakland),02317,Madison High School,No,Identified for Restructuring - Implementation,High School
63,Oakland Schools,63140,Madison Public Schools (Oakland),08980,Community High School ,No,Identified for Restructuring - Implementation,Alternative School
63,Oakland Schools,63150,Troy School District,08286,Niles Community High School,No,Identified for Restructuring - Implementation,Alternative School
63,Oakland Schools,63160,West Bloomfield School District,08529,Laker Academy,No,Identified for Restructuring - Planning,Alternative School
63,Oakland Schools,63180,Brandon School District,08560,Howard T. Burt Lifelong Learning Center,Yes,Identified for Improvement - Year One,Alternative School
63,Oakland Schools,63190,Clarkston Community School District,09010,Clarkston Community Education,No,Identified for Restructuring - Implementation,Alternative School
63,Oakland Schools,63200,Farmington Public School District,00735,Cloverdale School,No,Identified for Improvement - Year Two,K-12 School
63,Oakland Schools,63200,Farmington Public School District,01204,Farmington High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63200,Farmington Public School District,09733,Farmington Central High School,-,Identified for Improvement - Year One,High School
63,Oakland Schools,63220,Huron Valley Schools,00964,Harbor High School,-,Corrective Action,Alternative School
63,Oakland Schools,63220,Huron Valley Schools,01801,Milford High School,No,Identified for Restructuring - Planning,High School
63,Oakland Schools,63220,Huron Valley Schools,06491,Lakeland High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63250,Oak Park City School District,02798,Oak Park High School,Yes,Identified for Improvement - Year Two,High School
63,Oakland Schools,63260,Rochester Community School District,03242,Rochester High School,No,Identified for Improvement - Year One,High School
